0,-0.5
1,-0.25
101,-0.25
105,-0.25
2 esdras,0.25
2-dimensional,-0.625
300,-0.25
365 days,-0.5
366 days,0.25
3tc,-0.25
400,-0.25
a fortiori,0.25
a good deal,0.25
a great deal,0.25
a lot,0.25
a priori,0.25
a-one,0.625
abandon,-0.375
abandoned person,-0.375
abandoned,-0.375
abase,-0.625
abash,-0.25
abashed,-0.375
abashment,-0.375
abasia trepidans,-0.375
abasia,-0.5
abasic,-0.25
abatable,0.625
abatic,-0.25
abaxially,0.25
abbot,0.5
abdias,-0.25
abdicable,0.375
abdominal breathing,-0.25
aberrant,0.375
aberrate,-0.25
abetalipoproteinemia,-0.75
abhor,-0.25
abhorrence,-0.375
abhorrent,-0.625
abidance,0.625
abiding,0.375
abient,0.25
ability,0.5
abiotrophy,-0.25
abject,-0.875
abjectly,0.375
abjuration,-0.625
abjure,-0.625
ablaut,0.5
able-bodied,0.25
ablepharia,0.5
ably,0.375
abnegate,0.25
abnormal,-0.75
abnormalcy,0.25
abnormality,0.25
abolishable,0.625
abominable,-0.25
abominably,-0.375
abominate,-0.25
abominator,-0.375
abortifacient,-0.375
abortive,-0.25
abortively,0.25
aboulic,-0.75
abounding,-0.25
about,0.25
aboveboard,-0.375
abrasive,-0.375
abreact,-0.875
abreaction,0.375
abreast,0.25
abrupt,-0.25
abruptly-pinnate leaf,0.25
abruptly-pinnate,0.25
abruptness,0.25
abscessed,-0.5
absconder,0.375
absence without leave,-0.25
absent,-0.5
absentee rate,-0.5
absentee,-0.625
absently,0.5
absentminded,0.25
absentmindedly,0.5
absentmindedness,0.25
absolute alcohol,-0.25
absolute,0.5
absolutely,0.5
absoluteness,0.375
absolutism,-0.25
absolved,0.625
absolver,0.25
absolvitory,0.25
absorbable,0.5
absorbate,0.5
absorbefacient,0.375
absorbing,0.5
abstemiously,0.25
abstemiousness,-0.375
abstentious,-0.625
abstinent,-0.625
abstracted,0.25
abstractedly,0.5
abstractive,0.375
abstrusely,-0.25
abstrusity,0.375
absurd,0.375
abulic,-0.75
abundant,-0.25
abuse,-0.625
abused,0.25
abuser,-0.25
abusive,-0.875
acacia cambegei,-0.625
acacia melanoxylon,0.25
academic freedom,-0.375
acadia national park,0.25
acanthocephalan,-0.25
acanthophis antarcticus,-0.375
acardia,-0.5
acarpous,-0.375
acaryote,-0.375
acatalectic,-0.5
acataphasia,-0.5
acathexia,-0.375
acathexis,-0.375
acaudal,-0.25
acaudate,-0.25
acaulescent,0.25
accelerator factor,-0.25
acceptability,0.25
acceptable,0.625
acceptableness,0.25
